created_at,date,time,username,name,place,tweet,language,mentions,urls,likes_count,retweet,hashtags,cashtags,retweets_count,link,thumbnail,near,retweet_id,reply_to,retweet_date,translate,retweet_date,translate
2020-01-27 00:59:57 Morocco Daylight Time,2020-01-27,00:59:57,arcluz77,Arcluz,,"@Olive_Bot_ There is one near by me. Once I finish with my diet, I'll definitely have to go there.",en,[],[],0,False,[],[],0,https://twitter.com/Arcluz77/status/1221583587209691136,,,,"[{'screen_name': 'Olive_Bot_', 'name': 'Olive-Bot 🌫', 'id': '869425365558734848'}]",,,,
2020-01-27 00:59:57 Morocco Daylight Time,2020-01-27,00:59:57,richtrapkiss,Rich Trapkiss,,@Pro_klinzd @anonkumaz @RecordingAcad @angeliquekidjo Lmao 🤣 follow I’ll kindly follow back asap,en,[],[],0,False,[],[],0,https://twitter.com/RichTrapkiss/status/1221583584915529728,,,,"[{'screen_name': 'Pro_klinzd', 'name': '👑King_Klin', 'id': '264973065'}, {'screen_name': 'anonkumaz', 'name': 'top boy 🌹', 'id': '218800791'}, {'screen_name': 'RecordingAcad', 'name': 'Recording Academy / GRAMMYs', 'id': '17243213'}, {'screen_name': 'angeliquekidjo', 'name': 'Angelique Kidjo', 'id': '70703740'}]",,,,
2020-01-27 00:59:57 Morocco Daylight Time,2020-01-27,00:59:57,psrmiami,86 Trump 🌊🇺🇸🏳️‍🌈🇺🇸🌊🧔🏻,,@jayrosen_nyu They'll just read the chirons on Fox and believe the bullshit.,en,[],[],0,False,[],[],0,https://twitter.com/psrmiami/status/1221583584718479361,,,,"[{'screen_name': 'jayrosen_nyu', 'name': 'Jay Rosen', 'id': '14834340'}]",,,,
2020-01-27 00:59:56 Morocco Daylight Time,2020-01-27,00:59:56,watchdaiya,Darc⁷,,@bungee_gum1600 I’ll go to where u r and beat u up 🗿,en,[],[],0,False,[],[],0,https://twitter.com/WatchDaiya/status/1221583583313383427,,,,"[{'screen_name': 'bungee_gum1600', 'name': 'Wosh ☃️', 'id': '1191416733766164480'}]",,,,
2020-01-27 00:59:56 Morocco Daylight Time,2020-01-27,00:59:56,dougzinboston,I'm wicked good,,@Laviator_ I’ll put a Pats fan against any jamoke out there,en,[],[],0,False,[],[],0,https://twitter.com/DougzInBoston/status/1221583582776504320,,,,"[{'screen_name': 'Laviator_', 'name': 'JPL', 'id': '279103221'}]",,,,
2020-01-27 00:59:56 Morocco Daylight Time,2020-01-27,00:59:56,ohheymarc,I am trying,,@ArashiKaji I have to cute the Young Xehanort fight into two parts. I'll try to make a thread of them soon.,en,[],[],1,False,[],[],0,https://twitter.com/OhHeyMarc/status/1221583582642221057,,,,[],,,,
2020-01-27 00:59:56 Morocco Daylight Time,2020-01-27,00:59:56,felix_mikey,Mike Felix🐢,,"Can't explain how heartbroken I am. To hear that Kobe is gone is unreal, the fact that his daughter was with him is tragic in every sense of the word. I wrote this well watch his last game. He'll live forever though those he inspired on and off the court. Thank you Kobe. #RIPKobe",en,[],[],8,False,['ripkobe'],[],0,https://twitter.com/felix_mikey/status/1221583582549819393,,,,[],,,,
2020-01-27 00:59:56 Morocco Daylight Time,2020-01-27,00:59:56,wintersshadow_,❄Bucky Barnes🗡,,//Heading off for the night. I'll be on @BitemehardBucky for the next 2 weeks and then my Steve account and back here. See you soon.♡ 🥰,en,"[{'screen_name': 'bitemehardbucky', 'name': 'sergeant james bucky barnes💫', 'id': '1018345490604351488'}]",[],1,False,[],[],0,https://twitter.com/WintersShadow_/status/1221583582117998592,,,,[],,,,
2020-01-27 00:59:56 Morocco Daylight Time,2020-01-27,00:59:56,wkndatburnies,Tatakai,,"""I'll know when I die""......man Kobe.",en,[],[],0,False,[],[],0,https://twitter.com/WkndatBurnies/status/1221583581337858049,,,,[],,,,
2020-01-27 00:59:55 Morocco Daylight Time,2020-01-27,00:59:55,402_2823,Polly Higley MAGA,,@RealEricCarmen I'll be watching it.,en,[],[],0,False,[],[],0,https://twitter.com/402_2823/status/1221583579110526977,,,,"[{'screen_name': 'RealEricCarmen', 'name': '🇺🇸Eric Carmen🇺🇸', 'id': '85498982'}]",,,,
